path,type,status,confidence,title,tags,evidence_count,evidence_kinds,contributor_count,body_chars,first_seen,last_confirmed,created_at,uuid
concepts/app-error-class,concept,active,medium,AppError class for machine-readable application errors,error-handling|app-error|javascript,1,repo_file,0,551,2026-07-28T04:23:09.432+00:00,2026-07-28T04:23:09.432+00:00,2026-07-28T04:23:34.53+00:00,2be37f11-cd36-4987-bfeb-85e80210211a
concepts/app-error-conventions,concept,active,medium,AppError class conventions,error-handling|code-conventions|app-error,1,repo_file,0,518,2026-07-28T04:26:40.659+00:00,2026-07-28T04:26:40.659+00:00,2026-07-28T04:27:10.925+00:00,c9ee3c8f-c023-49f2-95e5-a5fe2f366e15
concepts/concept-paths-format,concept,active,high,Concept paths format and usage,concept|path|format|uuid|internal-links,1,repo_file,0,839,2026-07-28T05:13:28.386+00:00,2026-07-28T05:13:28.386+00:00,2026-07-28T05:13:45.884+00:00,83322c10-013a-4bb5-b19e-098ab9de627d
concepts/layered-architecture-task-tracker,concept,active,medium,Layered Architecture in Task Tracker Application,architecture|design-pattern|task-tracker|task|schema|validation|zod,2,repo_file,0,2035,2026-07-28T04:23:09.432+00:00,2026-07-28T04:23:09.432+00:00,2026-07-28T04:23:21.738+00:00,80beb6ac-9735-4c72-b757-945983c9d532
concepts/layered-architecture-task-tracker,concept,active,medium,Layered Architecture in Task Tracker Application,layered architecture|task tracker|typescript|postgresql|design pattern,1,repo_file,0,600,2026-07-28T04:26:40.659+00:00,2026-07-28T04:26:40.659+00:00,2026-07-28T04:26:54.962+00:00,84181eb4-5cdb-458f-b8cb-205b6d93cee9
concepts/path-format,concept,active,high,Concept path formatting rules,concept|path|format|uuid,1,repo_file,0,875,2026-07-28T03:05:11.077+00:00,2026-07-28T03:05:11.077+00:00,2026-07-28T03:05:32.752+00:00,a21d45f5-f0fb-4ece-bba0-c71959c87fc3
concepts/provider-precedence,concept,active,medium,Provider Precedence and Semantic Recall Behavior,provider|embedding|configuration|precedence|semantic-recall,1,repo_file,0,1358,2026-07-28T05:13:28.386+00:00,2026-07-28T05:13:28.386+00:00,2026-07-28T05:14:15.564+00:00,3f15172b-71f3-4748-a8fa-3883920455b2
conventions/error-redaction,convention,active,high,Error Redaction Convention for LLM Boundary,error-handling|llm|redaction|convention,1,repo_file,0,956,2026-07-28T03:06:41.188+00:00,2026-07-28T03:06:41.188+00:00,2026-07-28T03:07:02.01+00:00,f1fd85a2-64fe-407f-8af3-fe4f9255105d
conventions/error-redaction-llm-boundary,convention,active,high,Error Redaction Convention for LLM Boundary,error-handling|security|llm|convention|redaction,1,repo_file,0,1065,2026-07-28T05:15:08.501+00:00,2026-07-28T05:15:08.501+00:00,2026-07-28T05:15:26.297+00:00,d2435617-23e9-4e8d-b9ae-b68989edcb60
decisions/api-rate-limiting,decision,active,high,API Rate Limiting Architecture Decision,api|rate-limiting|redis|architecture|decision,1,repo_file,1,1143,2026-07-28T03:22:37.325+00:00,2026-07-28T03:22:37.325+00:00,2026-07-28T03:22:42.887+00:00,a4e052a1-cb50-4219-a90c-d970f9e7ff73
decisions/api-rate-limiting,decision,active,high,Architecture Decision: API Rate Limiting,rate-limiting|api|architecture-decision|redis|token-bucket,1,repo_file,1,1200,2026-07-28T03:23:14.459+00:00,2026-07-28T03:23:14.459+00:00,2026-07-28T03:23:20.543+00:00,32705595-5140-44b2-a176-b94a4e17747f
decisions/api-rate-limiting,decision,active,high,Architecture Decision: API Rate Limiting Using Redis-backed Token Bucket Algorithm,architecture|rate-limiting|api|redis|decision|token-bucket,2,repo_file,1,1098,2026-07-28T03:23:48.676+00:00,2026-07-28T03:24:02.072+00:00,2026-07-28T03:23:53.758+00:00,d547f989-5d25-496b-8858-9f62d0a01b70
decisions/codename-standardization-billing-rewrite,decision,active,medium,Codename Standardization for Billing Rewrite,codename|billing|zebrafish|standardization,1,repo_file,0,223,2026-07-28T12:17:10.158+00:00,2026-07-28T12:17:10.158+00:00,2026-07-28T12:17:15.369+00:00,fce64c25-83b5-4877-97dc-34b6feb27e8f
decisions/queue-management-pg-boss-over-redis,decision,active,high,Decision to Use pg-boss in Postgres for Compile Queue Instead of Redis,decision|pg-boss|postgres|redis|compile-queue|queue-management|deployment|architecture,2,commit|pr,1,1183,2026-07-28T02:00:00+00:00,2026-07-28T03:59:51.553+00:00,2026-07-28T03:58:50.171+00:00,4592956d-894a-4800-bc17-1d4e1fe14458
decisions/use-pg-boss-for-compile-queue,decision,disputed,high,Decision on Compile Queue: Redis vs. Postgres with pg-boss,postgres|pg-boss|queue|self-hosting|operational-decision|decision|redis|performance,2,repo_file,0,2142,2026-07-28T05:13:28.386+00:00,2026-07-28T05:13:28.386+00:00,2026-07-28T05:13:35.823+00:00,4f0a7a43-a238-4228-86c0-ec260a1adbf0
decisions/use-pg-boss-on-postgres,decision,disputed,high,Decision: Queue Technology Choice for Compile Queue (Postgres vs. Redis),queue|postgres|pg-boss|decision|operational-tradeoff|redis|migration|performance,2,repo_file,0,1982,2026-07-28T03:05:11.077+00:00,2026-07-28T03:05:11.077+00:00,2026-07-28T03:05:42.44+00:00,70de6dde-2ab5-4917-97c2-2013ab91cf95
decisions/use-postgresql-pgvector,decision,active,high,Use PostgreSQL with pgvector as the Primary Database,postgresql|pgvector|datastore|transactional-consistency|job-queue,1,repo_file,1,2231,2026-07-28T04:01:49.946+00:00,2026-07-28T04:01:49.946+00:00,2026-07-28T04:01:55.816+00:00,51a79790-06ba-4b84-84bc-79c9b4c512eb
