concept_path,concept_uuid,kind,ref,repo,commit_sha,file_path,at
concepts/app-error-class,2be37f11-cd36-4987-bfeb-85e80210211a,repo_file,,teamem-ai/e2e-sample,45fbe4244007ca73b96f480c8558b49054d3140f,src/utils/errors.ts,2026-07-28T04:23:09.432+00:00
concepts/app-error-conventions,c9ee3c8f-c023-49f2-95e5-a5fe2f366e15,repo_file,,teamem-ai/e2e-sample,b4d6da46d5a80a54261d81a10ae2b23508ba089c,src/utils/errors.ts,2026-07-28T04:26:40.659+00:00
concepts/concept-paths-format,83322c10-013a-4bb5-b19e-098ab9de627d,repo_file,,teamem-ai/teamem-server,0c6d27fa69d3f16791a1f2aa619968e79bd4c466,docs/knowledge/concept-path-format.md,2026-07-28T05:13:28.386+00:00
concepts/layered-architecture-task-tracker,80beb6ac-9735-4c72-b757-945983c9d532,repo_file,,teamem-ai/e2e-sample,45fbe4244007ca73b96f480c8558b49054d3140f,README.md,2026-07-28T04:23:09.432+00:00
concepts/layered-architecture-task-tracker,80beb6ac-9735-4c72-b757-945983c9d532,repo_file,,teamem-ai/e2e-sample,45fbe4244007ca73b96f480c8558b49054d3140f,src/models/task.ts,2026-07-28T04:23:09.432+00:00
concepts/layered-architecture-task-tracker,84181eb4-5cdb-458f-b8cb-205b6d93cee9,repo_file,,teamem-ai/e2e-sample,b4d6da46d5a80a54261d81a10ae2b23508ba089c,README.md,2026-07-28T04:26:40.659+00:00
concepts/path-format,a21d45f5-f0fb-4ece-bba0-c71959c87fc3,repo_file,,teamem-ai/teamem-server,0c6d27fa69d3f16791a1f2aa619968e79bd4c466,docs/knowledge/concept-path-format.md,2026-07-28T03:05:11.077+00:00
concepts/provider-precedence,3f15172b-71f3-4748-a8fa-3883920455b2,repo_file,,teamem-ai/teamem-server,0c6d27fa69d3f16791a1f2aa619968e79bd4c466,docs/knowledge/embedding-provider-precedence.md,2026-07-28T05:13:28.386+00:00
conventions/error-redaction,f1fd85a2-64fe-407f-8af3-fe4f9255105d,repo_file,,teamem-ai/teamem-server,b960dbe4cf4abeaacb319d88d90e6d3ed0ac8c5c,docs/knowledge/error-redaction-convention.md,2026-07-28T03:06:41.188+00:00
conventions/error-redaction-llm-boundary,d2435617-23e9-4e8d-b9ae-b68989edcb60,repo_file,,teamem-ai/teamem-server,b960dbe4cf4abeaacb319d88d90e6d3ed0ac8c5c,docs/knowledge/error-redaction-convention.md,2026-07-28T05:15:08.501+00:00
decisions/api-rate-limiting,a4e052a1-cb50-4219-a90c-d970f9e7ff73,repo_file,,teamem/test-repo,a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0,docs/architecture/rate-limiting.md,2026-07-28T03:22:37.325+00:00
decisions/api-rate-limiting,32705595-5140-44b2-a176-b94a4e17747f,repo_file,,teamem/test-repo,a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0,docs/architecture/rate-limiting.md,2026-07-28T03:23:14.459+00:00
decisions/api-rate-limiting,d547f989-5d25-496b-8858-9f62d0a01b70,repo_file,,teamem/test-repo,a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0,docs/architecture/rate-limiting.md,2026-07-28T03:23:48.676+00:00
decisions/api-rate-limiting,d547f989-5d25-496b-8858-9f62d0a01b70,repo_file,,teamem/test-repo,b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c,docs/architecture/rate-limiting-v2.md,2026-07-28T03:23:54.482+00:00
decisions/codename-standardization-billing-rewrite,fce64c25-83b5-4877-97dc-34b6feb27e8f,repo_file,,teamem-ai/teamem-server,b1b2b3b4b5b6b7b8b9b0c1c2c3c4c5c6c7c8c9c0,docs/tenant-b-only.md,2026-07-28T12:17:10.158+00:00
decisions/queue-management-pg-boss-over-redis,4592956d-894a-4800-bc17-1d4e1fe14458,pr,https://github.com/teamem-ai/teamem-server/pull/107,,,,2026-07-28T02:00:00+00:00
decisions/queue-management-pg-boss-over-redis,4592956d-894a-4800-bc17-1d4e1fe14458,commit,https://github.com/teamem-ai/teamem-server/commit/4f3a91c27b6d8e50a1c4f9b2e7d3a6c8b0f5e214,,,,2026-07-28T02:00:00+00:00
decisions/use-pg-boss-for-compile-queue,4f0a7a43-a238-4228-86c0-ec260a1adbf0,repo_file,,teamem-ai/teamem-server,0c6d27fa69d3f16791a1f2aa619968e79bd4c466,docs/knowledge/queue-on-postgres.md,2026-07-28T05:13:28.386+00:00
decisions/use-pg-boss-for-compile-queue,4f0a7a43-a238-4228-86c0-ec260a1adbf0,repo_file,,teamem-ai/teamem-server,b960dbe4cf4abeaacb319d88d90e6d3ed0ac8c5c,docs/proposals/move-queue-to-redis.md,2026-07-28T05:15:08.501+00:00
decisions/use-pg-boss-on-postgres,70de6dde-2ab5-4917-97c2-2013ab91cf95,repo_file,,teamem-ai/teamem-server,0c6d27fa69d3f16791a1f2aa619968e79bd4c466,docs/knowledge/queue-on-postgres.md,2026-07-28T03:05:11.077+00:00
decisions/use-pg-boss-on-postgres,70de6dde-2ab5-4917-97c2-2013ab91cf95,repo_file,,teamem-ai/teamem-server,b960dbe4cf4abeaacb319d88d90e6d3ed0ac8c5c,docs/proposals/move-queue-to-redis.md,2026-07-28T03:06:41.188+00:00
decisions/use-postgresql-pgvector,51a79790-06ba-4b84-84bc-79c9b4c512eb,repo_file,,teamem-ai/teamem-server,a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0,docs/decisions/001-use-postgres-pgvector.md,2026-07-28T04:01:49.946+00:00
decisions/use-postgresql-pgvector,13ee5d2e-6bfe-4406-ae91-153c4c0ea148,pr,https://github.com/teamem-ai/teamem-server/pull/107,,,,2026-07-28T02:00:00+00:00
decisions/use-postgresql-pgvector,13ee5d2e-6bfe-4406-ae91-153c4c0ea148,commit,https://github.com/teamem-ai/teamem-server/commit/4f3a91c27b6d8e50a1c4f9b2e7d3a6c8b0f5e214,,,,2026-07-28T02:00:00+00:00
decisions/use-postgresql-pgvector,13ee5d2e-6bfe-4406-ae91-153c4c0ea148,repo_file,,teamem-ai/teamem-server,a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0,docs/decisions/001-use-postgres-pgvector.md,2026-07-28T04:02:17.218+00:00
gotchas/api-key-plaintext,65c3b723-b1be-4995-918b-991ec3f34aab,repo_file,,teamem-ai/teamem-server,0c6d27fa69d3f16791a1f2aa619968e79bd4c466,docs/knowledge/api-key-plaintext-once.md,2026-07-28T05:13:28.386+00:00
gotchas/api-key-plaintext-visibility,e4872ce7-148c-4276-8f0c-b3c5fc681110,repo_file,,teamem-ai/teamem-server,0c6d27fa69d3f16791a1f2aa619968e79bd4c466,docs/knowledge/api-key-plaintext-once.md,2026-07-28T03:05:11.077+00:00
gotchas/api-rate-limiting,f8150ab0-3b45-4980-8354-60a879bac707,repo_file,,demorepo,f5c829351f92f45189e153653410ab38dcc0b871,docs/rate-limiting.md,2026-07-28T04:22:16.393+00:00
gotchas/compose-does-not-migrate,6ced398e-c8d5-402e-b2ae-6d3c2991c4b0,repo_file,,teamem-ai/teamem-server,0c6d27fa69d3f16791a1f2aa619968e79bd4c466,docs/knowledge/compose-does-not-migrate.md,2026-07-28T03:05:11.077+00:00
gotchas/compose-does-not-migrate,6ced398e-c8d5-402e-b2ae-6d3c2991c4b0,repo_file,,teamem-ai/teamem-server,b960dbe4cf4abeaacb319d88d90e6d3ed0ac8c5c,docs/knowledge/fresh-volume-checklist.md,2026-07-28T03:06:41.188+00:00
gotchas/exponential-backoff-retry-errors,1b8ee59d-ae67-40bb-9694-f3ed460ff38c,repo_file,,teamem-ai/e2e-sample,45fbe4244007ca73b96f480c8558b49054d3140f,src/utils/retry.ts,2026-07-28T04:23:09.432+00:00
gotchas/in-process-rate-limiter-reset,b406bc5d-ef61-4526-b1fb-f9beda2a60df,repo_file,,demorepo,f5c829351f92f45189e153653410ab38dcc0b871,docs/rate-limiting.md,2026-07-28T04:56:52.948+00:00
gotchas/migration-requires-pgvector,446583b9-8f4e-43af-8796-f4a26a4723cc,repo_file,,teamem-ai/teamem-server,b960dbe4cf4abeaacb319d88d90e6d3ed0ac8c5c,docs/knowledge/migration-requires-pgvector.md,2026-07-28T05:15:08.501+00:00
gotchas/pg-connection-leaks,57156e0b-eee5-4e6e-aeee-d300718b76b0,repo_file,,teamem-ai/e2e-sample,45fbe4244007ca73b96f480c8558b49054d3140f,src/utils/db.ts,2026-07-28T04:23:09.432+00:00
gotchas/pgvector-extension-requirement,a237953d-9291-452b-af13-bfcd04ed5193,repo_file,,teamem-ai/teamem-server,b960dbe4cf4abeaacb319d88d90e6d3ed0ac8c5c,docs/knowledge/migration-requires-pgvector.md,2026-07-28T03:06:41.188+00:00
gotchas/postgresql-pool-shutdown,b7660aac-4990-4e9a-bfde-8f854983c044,repo_file,,teamem-ai/e2e-sample,b4d6da46d5a80a54261d81a10ae2b23508ba089c,src/utils/db.ts,2026-07-28T04:26:40.659+00:00
gotchas/provider-model-default-rot,06cd0eef-416c-4aaf-bdf3-10a577fa7f42,repo_file,,teamem-ai/teamem-server,0c6d27fa69d3f16791a1f2aa619968e79bd4c466,docs/knowledge/provider-model-defaults-rot.md,2026-07-28T05:13:28.386+00:00
gotchas/provider-model-defaults-rot,9db276b7-d7d8-4869-a0b6-9c5b910eeef8,repo_file,,teamem-ai/teamem-server,0c6d27fa69d3f16791a1f2aa619968e79bd4c466,docs/knowledge/provider-model-defaults-rot.md,2026-07-28T03:05:11.077+00:00
gotchas/provider-model-defaults-rot,9db276b7-d7d8-4869-a0b6-9c5b910eeef8,repo_file,,teamem-ai/teamem-server,0c6d27fa69d3f16791a1f2aa619968e79bd4c466,docs/knowledge/embedding-provider-precedence.md,2026-07-28T03:05:11.077+00:00
gotchas/retry-function-error-handling,b6124ad2-72a1-40bd-8f12-9633db5f0a8f,repo_file,,teamem-ai/e2e-sample,b4d6da46d5a80a54261d81a10ae2b23508ba089c,src/utils/retry.ts,2026-07-28T04:26:40.659+00:00
gotchas/root-union-schema-rejection,71ed4cbd-dde0-41d4-9ab9-58f8f4b1f077,repo_file,,teamem-ai/teamem-server,0c6d27fa69d3f16791a1f2aa619968e79bd4c466,docs/knowledge/llm-root-union-schema.md,2026-07-28T05:13:28.386+00:00
gotchas/runtime-image-no-pnpm,f5112aa9-dd91-48d3-9761-48de2f750b73,repo_file,,teamem-ai/teamem-server,0c6d27fa69d3f16791a1f2aa619968e79bd4c466,docs/knowledge/runtime-image-has-no-pnpm.md,2026-07-28T03:05:11.077+00:00
gotchas/runtime-image-no-pnpm,509fc5d5-03f9-42eb-b4d9-cc28709510ae,repo_file,,teamem-ai/teamem-server,0c6d27fa69d3f16791a1f2aa619968e79bd4c466,docs/knowledge/runtime-image-has-no-pnpm.md,2026-07-28T05:13:28.386+00:00
gotchas/runtime-image-no-pnpm,509fc5d5-03f9-42eb-b4d9-cc28709510ae,repo_file,,teamem-ai/teamem-server,0c6d27fa69d3f16791a1f2aa619968e79bd4c466,docs/knowledge/compose-does-not-migrate.md,2026-07-28T05:13:28.386+00:00
gotchas/schema-root-union-type,35bf25f4-d06b-43a6-bf53-a05bba1eadc8,repo_file,,teamem-ai/teamem-server,0c6d27fa69d3f16791a1f2aa619968e79bd4c466,docs/knowledge/llm-root-union-schema.md,2026-07-28T03:05:11.077+00:00
gotchas/stripe-webhook-retries,711d3989-06b8-46d2-9856-d05c2ab8b57e,mcp_write,evt_53014880b618482c94dc28ac167acee9,,,,2026-07-28T12:19:43.225+00:00
runbooks/bringing-up-a-new-environment,222ff6ff-3660-4ac6-b42c-77e0b2fd0404,repo_file,,teamem-ai/teamem-server,b960dbe4cf4abeaacb319d88d90e6d3ed0ac8c5c,docs/knowledge/fresh-volume-checklist.md,2026-07-28T05:15:08.501+00:00
runbooks/compile-job-stuck-in-queued,440665ec-b756-4561-9b43-b8e0989da8db,repo_file,,teamem-ai/teamem-server,b960dbe4cf4abeaacb319d88d90e6d3ed0ac8c5c,docs/runbooks/compile-job-stuck-in-queued.md,2026-07-28T05:15:08.501+00:00
runbooks/compile-job-stuck-in-queued,0d406c63-dff7-433b-8c9d-9d83cb36305b,repo_file,,teamem-ai/teamem-server,b960dbe4cf4abeaacb319d88d90e6d3ed0ac8c5c,docs/runbooks/compile-job-stuck-in-queued.md,2026-07-28T03:06:41.188+00:00
runbooks/restore-postgres-from-backup,af2efc80-2e42-4399-bdfb-20962001a5a7,repo_file,,teamem-ai/teamem-server,ec316e3aa1b2c3d4e5f60718293a4b5c6d7e8f90,docs/runbooks/restore-postgres-from-backup.md,2026-07-28T12:33:51.993+00:00
runbooks/roll-back-a-deployment,96e11af3-ea80-450c-a7cf-1c6484c814bd,repo_file,,teamem-ai/teamem-server,ec316e3aa1b2c3d4e5f60718293a4b5c6d7e8f90,docs/runbooks/roll-back-a-deployment.md,2026-07-28T12:33:51.993+00:00
runbooks/rotate-database-credentials,f91917d7-16dd-4f10-8222-5b3cd3e04d95,repo_file,,teamem-ai/teamem-server,ec316e3aa1b2c3d4e5f60718293a4b5c6d7e8f90,docs/runbooks/rotate-database-credentials.md,2026-07-28T12:33:51.993+00:00
services/compile-worker,f8390115-76c6-4d38-97d8-edc95301838f,repo_file,,teamem-ai/teamem-server,b960dbe4cf4abeaacb319d88d90e6d3ed0ac8c5c,docs/services/compile-worker.md,2026-07-28T05:15:08.501+00:00
services/compile-worker,b9026f90-771e-495e-833f-a9091f2e4c56,repo_file,,teamem-ai/teamem-server,b960dbe4cf4abeaacb319d88d90e6d3ed0ac8c5c,docs/services/compile-worker.md,2026-07-28T03:06:41.188+00:00
